transaction_id,order_id,user_id,payment_method,transaction_status,failure_reason,amount,retry_attempt,transaction_date
TXN000044,ORD71694,U4644,UPI,FAILED,INSUFFICIENT_BALANCE,7355.77,1,2024-03-19 11:52:00
TXN000045,ORD35313,U7528,UPI,SUCCESS,,6928.39,0,2024-03-30 08:41:00
TXN000046,ORD80282,U6425,NETBANKING,SUCCESS,,1011.2,2,2024-02-15 08:37:00
TXN000047,ORD24208,U8119,UPI,SUCCESS,,6312.78,0,2024-06-04 13:32:00
TXN000048,ORD34914,U5173,UPI,SUCCESS,,3544.85,1,2024-05-17 16:43:00
TXN000049,ORD97900,U4228,UPI,SUCCESS,,652.79,0,2024-03-25 21:39:00
TXN000050,ORD49363,U9308,UPI,FAILED,PAYMENT_TIMEOUT,3326.3,0,2024-06-27 12:18:00
TXN000051,ORD59695,U3851,CARD,SUCCESS,,2477.5,0,2024-01-01 17:19:00
TXN000052,ORD86019,U6279,CARD,SUCCESS,,3593.06,1,2024-05-10 06:30:00
TXN000053,ORD32241,U2389,UPI,SUCCESS,,5344.45,1,2024-03-26 19:05:00
TXN000054,ORD98184,U6085,UPI,SUCCESS,,1673.13,2,2024-01-12 00:15:00
TXN000055,ORD19545,U8461,UPI,FAILED,PAYMENT_TIMEOUT,5075.15,0,2024-06-27 06:24:00
TXN000056,ORD10726,U2746,WALLET,FAILED,USER_CANCELLED,1828.84,0,2024-05-12 22:29:00
TXN000057,ORD69829,U3184,WALLET,SUCCESS,,5373.86,2,2024-06-01 17:20:00
TXN000058,ORD90301,U9270,UPI,SUCCESS,,7264.15,1,2024-02-10 14:47:00
TXN000059,ORD42406,U5543,WALLET,SUCCESS,,4218.27,0,2024-03-02 20:17:00
TXN000060,ORD40735,U5451,UPI,SUCCESS,,7154.91,0,2024-02-05 02:09:00
TXN000061,ORD38043,U2052,UPI,SUCCESS,,2713.96,0,2024-04-16 14:03:00
TXN000062,ORD86556,U1320,WALLET,SUCCESS,,6148.2,2,2024-05-02 12:00:00
TXN000063,ORD61116,U7865,CARD,SUCCESS,,5903.61,0,2024-02-26 19:31:00
TXN000064,ORD13804,U7371,UPI,FAILED,PAYMENT_TIMEOUT,5465.22,0,2024-02-12 12:53:00
TXN000065,ORD13534,U7455,CARD,SUCCESS,,5337.7,0,2024-06-13 02:27:00
TXN000066,ORD16590,U5262,UPI,SUCCESS,,1772.12,1,2024-03-27 10:48:00
TXN000067,ORD65255,U5133,WALLET,SUCCESS,,3815.42,2,2024-05-18 23:03:00
TXN000068,ORD95215,U2124,WALLET,SUCCESS,,5248.86,1,2024-03-04 00:12:00
TXN000069,ORD41266,U3068,CARD,SUCCESS,,1003.68,0,2024-04-29 06:44:00
TXN000070,ORD89415,U2876,WALLET,SUCCESS,,1393.75,0,2024-01-28 09:37:00
TXN000071,ORD98781,U7149,UPI,FAILED,PAYMENT_TIMEOUT,5748.62,1,2024-05-31 02:44:00
TXN000072,ORD49529,U2983,WALLET,SUCCESS,,4570.87,0,2024-03-29 01:34:00
TXN000073,ORD76317,U6590,UPI,SUCCESS,,3418.46,2,2024-01-28 15:27:00
TXN000074,ORD70258,U3506,UPI,SUCCESS,,5896.98,1,2024-03-10 20:39:00
TXN000075,ORD73372,U8616,UPI,SUCCESS,,5875.11,0,2024-03-23 08:54:00
TXN000076,ORD46559,U8385,UPI,SUCCESS,,3771.2,0,2024-06-20 19:24:00
TXN000077,ORD52600,U3979,CARD,SUCCESS,,2903.12,1,2024-03-28 08:17:00
TXN000078,ORD46211,U1166,CARD,SUCCESS,,1609.35,0,2024-04-14 07:31:00
TXN000079,ORD72402,U9041,UPI,SUCCESS,,236.22,1,2024-02-26 09:25:00
TXN000080,ORD86225,U7046,CARD,SUCCESS,,4294.28,0,2024-05-20 13:21:00
TXN000081,ORD50189,U5118,UPI,SUCCESS,,5798.15,0,2024-01-31 10:47:00
TXN000082,ORD34267,U4138,UPI,SUCCESS,,3925.17,0,2024-05-30 23:48:00
TXN000083,ORD23176,U4180,UPI,SUCCESS,,2950.96,0,2024-01-04 09:45:00
TXN000084,ORD17146,U5786,CARD,SUCCESS,,1097.61,0,2024-01-27 15:55:00
TXN000085,ORD72746,U8216,UPI,SUCCESS,,7727.43,1,2024-05-02 08:07:00
TXN000086,ORD19710,U1878,UPI,SUCCESS,,6508.02,0,2024-01-22 09:15:00
TXN000087,ORD89471,U4697,WALLET,SUCCESS,,3104.99,0,2024-03-17 14:55:00
TXN000088,ORD84531,U1986,CARD,FAILED,INSUFFICIENT_BALANCE,5946.71,0,2024-06-09 06:13:00
TXN000089,ORD82350,U2229,UPI,FAILED,USER_CANCELLED,3327.29,0,2024-06-01 22:30:00
TXN000090,ORD69510,U2166,CARD,FAILED,INSUFFICIENT_BALANCE,7398.9,1,2024-05-30 20:42:00
TXN000091,ORD39466,U3441,NETBANKING,SUCCESS,,6630.39,1,2024-01-16 02:10:00
TXN000092,ORD84607,U5728,UPI,SUCCESS,,3802.71,2,2024-06-28 09:25:00
TXN000093,ORD74722,U8172,UPI,FAILED,TECHNICAL_ERROR,414.9,0,2024-03-23 13:38:00
TXN000094,ORD85392,U1339,NETBANKING,SUCCESS,,5411.02,1,2024-05-27 08:02:00
TXN000095,ORD78021,U8245,NETBANKING,SUCCESS,,1533.76,1,2024-04-21 18:40:00
TXN000096,ORD71605,U6700,UPI,SUCCESS,,2636.36,0,2024-02-11 03:21:00
TXN000097,ORD96846,U7561,WALLET,FAILED,USER_CANCELLED,4445.76,0,2024-01-23 14:20:00
TXN000098,ORD77449,U1018,CARD,SUCCESS,,4386.49,0,2024-01-14 13:12:00
TXN000099,ORD75338,U8242,WALLET,SUCCESS,,1708.11,0,2024-02-03 17:59:00
TXN000100,ORD73532,U2989,UPI,SUCCESS,,5077.18,0,2024-02-10 07:19:00
TXN000101,ORD22217,U4681,NETBANKING,SUCCESS,,7312.15,1,2024-01-31 14:41:00
TXN000102,ORD48254,U9337,CARD,FAILED,INSUFFICIENT_BALANCE,3382.37,0,2024-04-30 15:15:00
TXN000103,ORD88561,U9327,CARD,SUCCESS,,1178.42,1,2024-03-11 02:49:00
TXN000104,ORD76550,U5377,WALLET,SUCCESS,,2334.43,2,2024-05-30 09:37:00
TXN000105,ORD29476,U8316,CARD,SUCCESS,,2826.48,0,2024-05-19 17:24:00
TXN000106,ORD34727,U4912,CARD,SUCCESS,,1945.14,1,2024-01-12 13:20:00
TXN000107,ORD59968,U7325,NETBANKING,FAILED,TECHNICAL_ERROR,6359.91,2,2024-02-08 20:31:00
TXN000108,ORD53515,U2644,WALLET,SUCCESS,,3578.42,1,2024-04-26 16:00:00
TXN000109,ORD95823,U3529,UPI,SUCCESS,,6274.05,1,2024-03-27 08:39:00
TXN000110,ORD53065,U9742,UPI,SUCCESS,,2601.62,0,2024-05-04 22:55:00
TXN000111,ORD40771,U5708,NETBANKING,SUCCESS,,5999.45,0,2024-01-26 13:48:00
TXN000112,ORD68153,U3725,CARD,SUCCESS,,7237.05,0,2024-03-24 01:50:00
TXN000113,ORD66450,U3385,UPI,SUCCESS,,3355.21,0,2024-02-16 21:10:00
TXN000114,ORD60140,U4945,CARD,SUCCESS,,4706.94,0,2024-04-28 07:40:00
TXN000115,ORD11231,U8622,NETBANKING,SUCCESS,,5453.13,2,2024-01-19 05:28:00
TXN000116,ORD49210,U7951,CARD,SUCCESS,,3709.0,1,2024-02-20 09:24:00
TXN000117,ORD59986,U6881,CARD,SUCCESS,,7942.27,1,2024-01-06 09:53:00
TXN000118,ORD84177,U1803,NETBANKING,SUCCESS,,5986.86,1,2024-02-28 09:38:00
TXN000119,ORD34920,U5106,CARD,FAILED,PAYMENT_TIMEOUT,5795.33,0,2024-06-23 21:53:00
TXN000120,ORD15167,U6061,WALLET,SUCCESS,,363.58,2,2024-02-03 11:05:00
TXN000121,ORD64460,U3877,UPI,SUCCESS,,6313.45,2,2024-05-15 11:32:00
TXN000122,ORD43681,U8894,NETBANKING,SUCCESS,,2431.62,2,2024-01-30 10:29:00
TXN000123,ORD39571,U7511,NETBANKING,SUCCESS,,6456.24,0,2024-01-24 11:50:00
TXN000124,ORD26199,U8451,UPI,SUCCESS,,6017.19,1,2024-05-29 08:24:00
TXN000125,ORD24201,U4830,CARD,SUCCESS,,4994.42,0,2024-03-24 17:58:00
TXN000126,ORD93283,U8606,NETBANKING,FAILED,TECHNICAL_ERROR,2487.3,0,2024-01-30 13:08:00
TXN000127,ORD25220,U2592,UPI,SUCCESS,,4346.62,1,2024-04-26 12:23:00
TXN000128,ORD80804,U7866,CARD,SUCCESS,,5840.13,1,2024-06-16 13:06:00
TXN000129,ORD46666,U1536,CARD,SUCCESS,,1816.43,0,2024-03-01 14:54:00
TXN000130,ORD58147,U9920,NETBANKING,FAILED,USER_CANCELLED,5194.13,0,2024-04-11 01:17:00
TXN000131,ORD69600,U2501,CARD,SUCCESS,,5169.47,1,2024-01-06 19:03:00
TXN000132,ORD26505,U4362,UPI,FAILED,USER_CANCELLED,6144.74,1,2024-05-30 06:13:00
TXN000133,ORD88116,U1046,UPI,FAILED,TECHNICAL_ERROR,7873.82,1,2024-05-18 04:16:00
TXN000134,ORD27275,U1243,UPI,FAILED,USER_CANCELLED,6328.61,0,2024-03-23 18:01:00
TXN000135,ORD78955,U2862,CARD,SUCCESS,,3862.34,0,2024-05-11 11:37:00
TXN000136,ORD90623,U1710,CARD,SUCCESS,,7279.14,0,2024-05-13 21:19:00
TXN000137,ORD17972,U8847,WALLET,SUCCESS,,3467.56,2,2024-05-05 03:45:00
TXN000138,ORD20589,U6277,CARD,SUCCESS,,618.89,0,2024-06-08 08:40:00
TXN000139,ORD59925,U9692,UPI,SUCCESS,,4093.85,1,2024-01-26 13:50:00
TXN000140,ORD95316,U4522,UPI,SUCCESS,,7115.92,0,2024-03-27 13:52:00
TXN000141,ORD22463,U6120,UPI,FAILED,USER_CANCELLED,5354.35,2,2024-02-09 11:43:00
TXN000142,ORD22219,U8075,UPI,SUCCESS,,5936.49,0,2024-05-22 04:03:00
TXN000143,ORD53207,U3002,UPI,SUCCESS,,7001.5,0,2024-01-14 13:18:00
TXN000144,ORD85748,U9313,UPI,SUCCESS,,5288.22,1,2024-01-28 07:22:00
TXN000145,ORD46512,U4705,WALLET,FAILED,TECHNICAL_ERROR,6776.73,0,2024-06-06 19:43:00
TXN000146,ORD45054,U1474,UPI,SUCCESS,,5651.32,0,2024-03-27 09:22:00
TXN000147,ORD84228,U7566,UPI,SUCCESS,,5953.66,0,2024-01-24 00:47:00
TXN000148,ORD69460,U6585,UPI,FAILED,INSUFFICIENT_BALANCE,2561.94,0,2024-05-25 10:38:00
TXN000149,ORD90981,U1815,CARD,SUCCESS,,2249.61,0,2024-04-18 21:31:00
TXN000150,ORD38255,U9394,UPI,SUCCESS,,3496.32,0,2024-06-22 09:43:00
TXN000151,ORD50425,U1744,UPI,FAILED,INSUFFICIENT_BALANCE,7877.12,0,2024-01-02 01:13:00
TXN000152,ORD43491,U5742,UPI,SUCCESS,,161.07,0,2024-04-20 23:11:00
TXN000153,ORD40161,U9196,CARD,FAILED,INSUFFICIENT_BALANCE,5377.58,1,2024-01-19 11:25:00
TXN000154,ORD20205,U6129,CARD,SUCCESS,,4629.86,0,2024-06-12 22:26:00
TXN000155,ORD52568,U3815,WALLET,FAILED,BANK_SERVER_DOWN,4983.19,0,2024-04-02 22:05:00
TXN000156,ORD62487,U9584,UPI,FAILED,PAYMENT_TIMEOUT,6977.14,0,2024-03-27 23:14:00
TXN000157,ORD24945,U9693,CARD,SUCCESS,,7256.79,2,2024-03-30 11:46:00
TXN000158,ORD29358,U4871,UPI,SUCCESS,,2122.15,1,2024-06-03 05:09:00
TXN000159,ORD33218,U9095,CARD,SUCCESS,,4553.51,2,2024-04-24 18:43:00
TXN000160,ORD93269,U6295,WALLET,SUCCESS,,5055.02,0,2024-04-22 04:04:00
TXN000161,ORD46002,U1920,UPI,SUCCESS,,686.11,0,2024-04-25 14:02:00
TXN000162,ORD20057,U2479,CARD,SUCCESS,,4105.84,2,2024-05-28 14:35:00
TXN000163,ORD15376,U8368,NETBANKING,SUCCESS,,4616.09,0,2024-03-23 06:38:00
TXN000164,ORD18109,U8381,UPI,FAILED,USER_CANCELLED,7203.1,0,2024-01-22 10:32:00
TXN000165,ORD67595,U9586,CARD,SUCCESS,,1354.1,0,2024-03-13 11:24:00
TXN000166,ORD88366,U1857,WALLET,SUCCESS,,5213.71,0,2024-03-25 02:06:00
TXN000167,ORD43029,U3463,UPI,SUCCESS,,4703.64,2,2024-03-30 04:19:00
TXN000168,ORD61374,U3112,CARD,SUCCESS,,7510.22,0,2024-05-23 09:24:00
TXN000169,ORD26750,U9624,UPI,FAILED,INSUFFICIENT_BALANCE,5396.6,0,2024-04-02 16:01:00
TXN000170,ORD73736,U4145,UPI,SUCCESS,,1186.77,1,2024-03-16 02:54:00
TXN000171,ORD80748,U9626,UPI,FAILED,USER_CANCELLED,2760.44,0,2024-02-03 19:38:00
TXN000172,ORD91885,U3712,CARD,SUCCESS,,445.17,0,2024-06-22 11:46:00
TXN000173,ORD47346,U8355,UPI,SUCCESS,,1989.43,1,2024-02-19 15:23:00
TXN000174,ORD67749,U8564,WALLET,SUCCESS,,6247.18,2,2024-05-15 16:26:00
TXN000175,ORD89254,U3267,WALLET,SUCCESS,,512.22,2,2024-04-05 15:35:00
TXN000176,ORD77621,U3042,UPI,SUCCESS,,6128.62,0,2024-04-25 08:57:00
TXN000177,ORD22021,U4637,WALLET,SUCCESS,,7088.58,0,2024-04-16 00:03:00
TXN000178,ORD60615,U2337,UPI,FAILED,INSUFFICIENT_BALANCE,322.68,1,2024-06-15 03:21:00
TXN000179,ORD71925,U3273,WALLET,SUCCESS,,3805.97,0,2024-01-02 19:57:00
TXN000180,ORD29597,U9991,NETBANKING,SUCCESS,,4910.15,0,2024-01-29 13:49:00
TXN000181,ORD16258,U4906,UPI,SUCCESS,,6371.8,1,2024-01-17 14:07:00
TXN000182,ORD80261,U1269,CARD,SUCCESS,,4642.87,0,2024-02-06 22:18:00
TXN000183,ORD41531,U7825,UPI,SUCCESS,,5378.9,2,2024-04-02 16:04:00
TXN000184,ORD76535,U1333,UPI,FAILED,USER_CANCELLED,3814.07,0,2024-04-09 20:23:00
TXN000185,ORD55193,U4950,CARD,SUCCESS,,5063.23,0,2024-03-26 18:08:00
TXN000186,ORD94252,U3868,WALLET,FAILED,USER_CANCELLED,5508.99,0,2024-05-02 22:40:00
TXN000187,ORD69988,U1605,UPI,SUCCESS,,446.07,2,2024-01-11 06:20:00
TXN000188,ORD81176,U8756,UPI,FAILED,PAYMENT_TIMEOUT,6051.0,1,2024-03-14 06:22:00
TXN000189,ORD45811,U3039,WALLET,SUCCESS,,3551.92,2,2024-04-22 12:57:00
TXN000190,ORD34486,U9129,CARD,SUCCESS,,3002.04,0,2024-03-09 16:51:00
TXN000191,ORD66440,U3956,CARD,SUCCESS,,2637.57,0,2024-03-24 02:42:00
TXN000192,ORD65851,U3730,CARD,SUCCESS,,2877.22,2,2024-03-31 01:39:00
TXN000193,ORD17518,U2229,CARD,SUCCESS,,3309.06,2,2024-06-22 16:10:00
TXN000194,ORD89635,U8179,UPI,SUCCESS,,631.14,0,2024-04-03 20:23:00
TXN000195,ORD89310,U3513,CARD,FAILED,BANK_SERVER_DOWN,7595.71,0,2024-04-23 11:48:00
TXN000196,ORD51207,U5566,UPI,SUCCESS,,996.24,0,2024-02-17 23:31:00
TXN000197,ORD25435,U5288,WALLET,SUCCESS,,5661.9,1,2024-06-05 06:18:00
TXN000198,ORD36237,U3009,UPI,SUCCESS,,685.01,1,2024-04-23 05:05:00
TXN000199,ORD51889,U6692,CARD,SUCCESS,,4444.98,0,2024-03-17 09:54:00
TXN000200,ORD93584,U3852,WALLET,SUCCESS,,4119.17,0,2024-02-21 03:50:00
TXN000201,ORD13445,U6912,CARD,FAILED,BANK_SERVER_DOWN,3014.4,1,2024-02-03 17:39:00
TXN000202,ORD72739,U9612,UPI,SUCCESS,,3334.52,2,2024-01-19 18:08:00
TXN000203,ORD68979,U8632,CARD,SUCCESS,,2821.67,0,2024-06-12 17:37:00
TXN000204,ORD66704,U9238,NETBANKING,SUCCESS,,537.76,0,2024-05-12 03:09:00
TXN000205,ORD39552,U6669,NETBANKING,SUCCESS,,4199.29,0,2024-01-21 09:16:00
TXN000206,ORD45972,U3050,CARD,SUCCESS,,4953.98,0,2024-05-08 02:41:00
TXN000207,ORD30210,U3804,CARD,FAILED,TECHNICAL_ERROR,5793.0,2,2024-03-27 19:53:00
TXN000208,ORD20646,U1744,NETBANKING,SUCCESS,,6191.08,1,2024-06-15 08:13:00
TXN000209,ORD93753,U1496,CARD,SUCCESS,,5054.6,0,2024-06-13 09:19:00
TXN000210,ORD99783,U7653,UPI,SUCCESS,,676.49,0,2024-02-10 01:28:00
TXN000211,ORD54589,U3353,UPI,SUCCESS,,5775.07,0,2024-03-29 23:25:00
TXN000212,ORD83616,U2739,UPI,FAILED,TECHNICAL_ERROR,3785.13,0,2024-04-25 08:15:00
TXN000213,ORD90658,U7850,UPI,FAILED,USER_CANCELLED,6935.93,0,2024-03-24 05:59:00
TXN000214,ORD75308,U9433,CARD,SUCCESS,,7044.7,2,2024-01-06 15:05:00
TXN000215,ORD41552,U4524,CARD,SUCCESS,,484.4,1,2024-05-06 09:38:00
TXN000216,ORD71680,U5681,CARD,SUCCESS,,6792.66,0,2024-02-04 13:56:00
TXN000217,ORD62855,U6995,UPI,FAILED,PAYMENT_TIMEOUT,504.15,0,2024-02-19 17:23:00
TXN000218,ORD82070,U5582,WALLET,SUCCESS,,5023.61,2,2024-01-31 19:08:00
TXN000219,ORD54444,U6990,WALLET,FAILED,USER_CANCELLED,1672.56,0,2024-04-12 16:32:00
TXN000220,ORD72094,U9508,CARD,SUCCESS,,4889.46,2,2024-02-05 16:20:00
TXN000221,ORD61505,U5902,CARD,SUCCESS,,4107.79,1,2024-05-16 16:31:00
TXN000222,ORD12180,U7035,UPI,SUCCESS,,965.88,1,2024-05-29 13:19:00
TXN000223,ORD92478,U1436,CARD,FAILED,BANK_SERVER_DOWN,2197.69,0,2024-05-28 20:36:00
TXN000224,ORD78712,U7229,UPI,FAILED,BANK_SERVER_DOWN,5477.74,0,2024-05-26 01:44:00
TXN000225,ORD29848,U7765,CARD,SUCCESS,,3341.98,1,2024-04-30 19:55:00
TXN000226,ORD28098,U9498,UPI,SUCCESS,,2667.89,0,2024-05-02 21:33:00
TXN000227,ORD70249,U9734,UPI,SUCCESS,,2898.87,1,2024-06-23 23:41:00
TXN000228,ORD73462,U4150,NETBANKING,SUCCESS,,2304.15,1,2024-02-27 09:19:00
TXN000229,ORD74094,U6194,CARD,SUCCESS,,4527.85,0,2024-03-11 23:18:00
TXN000230,ORD59767,U7464,WALLET,SUCCESS,,7641.41,0,2024-03-15 04:02:00
TXN000231,ORD55398,U8247,CARD,SUCCESS,,6003.97,0,2024-02-21 06:52:00
TXN000232,ORD45601,U3249,UPI,SUCCESS,,5953.04,1,2024-03-03 07:03:00
TXN000233,ORD93616,U4814,UPI,FAILED,TECHNICAL_ERROR,3365.08,1,2024-04-30 22:06:00
TXN000234,ORD30701,U7666,CARD,SUCCESS,,7057.11,0,2024-05-02 15:41:00
TXN000235,ORD52096,U5676,CARD,SUCCESS,,7272.7,0,2024-06-15 02:36:00
TXN000236,ORD14888,U3868,UPI,SUCCESS,,6717.08,0,2024-04-11 01:50:00
TXN000237,ORD47941,U1613,UPI,SUCCESS,,4586.9,0,2024-03-26 03:18:00
TXN000238,ORD78723,U9092,WALLET,FAILED,INSUFFICIENT_BALANCE,1160.18,0,2024-04-29 16:17:00
TXN000239,ORD70150,U5215,CARD,SUCCESS,,211.27,1,2024-03-16 10:36:00
TXN000240,ORD90079,U7643,WALLET,SUCCESS,,4170.72,0,2024-04-12 02:42:00
TXN000241,ORD72580,U6301,NETBANKING,SUCCESS,,153.96,1,2024-03-01 12:28:00
TXN000242,ORD49576,U1187,UPI,SUCCESS,,2940.46,0,2024-01-16 07:42:00
TXN000243,ORD63138,U9233,NETBANKING,SUCCESS,,7113.63,0,2024-06-25 09:07:00
TXN000244,ORD58174,U4618,UPI,SUCCESS,,1155.19,2,2024-04-26 04:47:00
TXN000245,ORD81989,U8714,WALLET,SUCCESS,,6435.76,1,2024-03-04 06:43:00
TXN000246,ORD20730,U9609,UPI,SUCCESS,,5659.75,0,2024-05-24 02:07:00
TXN000247,ORD76255,U4312,CARD,SUCCESS,,1283.83,0,2024-05-13 10:28:00
TXN000248,ORD86434,U9008,UPI,SUCCESS,,4131.97,0,2024-04-26 01:08:00
TXN000249,ORD17567,U8575,CARD,SUCCESS,,2534.54,1,2024-04-11 00:16:00
TXN000250,ORD85800,U2196,UPI,FAILED,TECHNICAL_ERROR,2821.78,2,2024-05-18 02:03:00
TXN000251,ORD14159,U5703,UPI,SUCCESS,,6174.88,0,2024-06-14 20:26:00
TXN000252,ORD68790,U7184,UPI,FAILED,INSUFFICIENT_BALANCE,5493.57,1,2024-05-18 21:08:00
TXN000253,ORD80419,U7439,CARD,SUCCESS,,5850.08,0,2024-01-01 07:48:00
TXN000254,ORD98276,U9920,UPI,SUCCESS,,3096.28,0,2024-03-04 07:29:00
TXN000255,ORD24790,U1527,WALLET,SUCCESS,,3412.0,0,2024-03-02 00:13:00
TXN000256,ORD68515,U1797,UPI,SUCCESS,,449.47,0,2024-02-29 14:34:00
TXN000257,ORD17398,U3295,CARD,SUCCESS,,2385.18,0,2024-05-27 23:20:00
TXN000258,ORD52030,U4881,UPI,FAILED,PAYMENT_TIMEOUT,1231.76,0,2024-05-13 21:14:00
TXN000259,ORD87550,U3869,CARD,SUCCESS,,3474.88,2,2024-01-13 15:22:00
TXN000260,ORD78742,U6222,CARD,SUCCESS,,3325.25,1,2024-04-06 09:11:00
TXN000261,ORD39536,U5927,WALLET,SUCCESS,,1240.38,0,2024-01-15 14:35:00
TXN000262,ORD79467,U3196,UPI,SUCCESS,,2114.47,2,2024-06-14 10:05:00
TXN000263,ORD22119,U9775,CARD,FAILED,INSUFFICIENT_BALANCE,1604.8,0,2024-04-06 08:43:00
TXN000264,ORD87015,U4555,CARD,SUCCESS,,6968.84,0,2024-03-18 10:58:00
TXN000265,ORD25376,U8846,NETBANKING,SUCCESS,,5595.45,2,2024-02-22 22:25:00
TXN000266,ORD47101,U7236,CARD,SUCCESS,,5224.9,0,2024-03-07 09:23:00
TXN000267,ORD22924,U8692,WALLET,SUCCESS,,2629.84,0,2024-04-04 06:20:00
TXN000268,ORD39002,U3390,UPI,FAILED,BANK_SERVER_DOWN,4471.16,0,2024-05-28 18:46:00
TXN000269,ORD59786,U5026,CARD,SUCCESS,,5271.4,1,2024-03-27 21:16:00
TXN000270,ORD94108,U9037,CARD,SUCCESS,,5888.9,1,2024-02-13 11:08:00
TXN000271,ORD81058,U1962,CARD,SUCCESS,,6728.64,1,2024-06-20 02:03:00
TXN000272,ORD92667,U4791,UPI,SUCCESS,,1293.13,0,2024-05-09 06:29:00
TXN000273,ORD97392,U8916,CARD,SUCCESS,,224.28,0,2024-05-21 17:26:00
TXN000274,ORD46010,U9777,NETBANKING,SUCCESS,,235.43,1,2024-06-21 22:27:00
